ID;Nome;Cognome;Data_Nascita;Email;Abbonamento;Scadenza_Certificato;Ultimo_Accesso;Scadenza_Abbonamento;Ban
1,Alessandro,Gallo,1972-03-23,alessandro.gallo26@outlook.it,Annuale,2028-10-28,2026-01-04,2025-08-27,False
2,Giulia,Gallo,1992-05-05,giulia.gallo46@yahoo.com,Annuale,2027-02-24,2025-11-01,2025-11-03,False
3,Cristiano,Marino,2012-12-29,cristiano.marino39@gmail.com,Semestrale,2028-12-08,2025-11-23,2027-11-20,False
4,Beatrice,Conti,1950-09-11,beatrice.conti71@gmail.com,Semestrale,2028-07-01,2026-01-28,2026-09-22,False
5,Cristiano,Moretti,2015-06-02,cristiano.moretti23@yahoo.com,Semestrale,2028-12-08,2026-01-30,2025-06-17,False
6,Elena,Rossi,1956-03-27,elena.rossi11@outlook.it,Semestrale,2027-11-03,2025-01-17,2026-04-19,False
7,Alessandro,Ricci,1953-06-30,alessandro.ricci48@icloud.com,Annuale,2026-08-28,2025-12-24,2027-08-09,False
8,Marco,Bianchi,1955-08-06,marco.bianchi64@icloud.com,Semestrale,2027-10-09,2025-05-17,2025-08-02,False
9,Giulia,Piccoli,1992-07-16,giulia.piccoli47@yahoo.com,Annuale,2027-11-22,2025-02-28,2025-02-13,False
10,Riccardo,Zappa,1968-07-02,riccardo.zappa86@icloud.com,Semestrale,2028-07-18,2025-08-14,2027-03-23,False
11,Valentina,Russo,1975-04-20,valentina.russo90@gmail.com,Semestrale,2028-12-03,2025-03-25,2026-10-12,False
12,Alessandro,Colombo,1977-12-30,alessandro.colombo14@gmail.com,Semestrale,2027-07-13,2025-03-03,2026-12-25,False
13,Beatrice,Rossi,2008-11-25,beatrice.rossi89@outlook.it,Semestrale,2027-07-23,2025-03-16,2028-04-10,False
14,Giulia,Piccoli,1964-11-03,giulia.piccoli12@gmail.com,Annuale,2026-03-01,2025-11-18,2026-01-29,False
15,Alessandro,Bianchi,1950-12-07,alessandro.bianchi9@yahoo.com,Semestrale,2028-12-27,2025-12-17,2028-03-05,False
16,Elena,Rossi,1993-10-19,elena.rossi82@gmail.com,Semestrale,2026-08-09,2025-01-27,2025-10-30,False
17,Davide,Zappa,2007-08-03,davide.zappa14@icloud.com,Semestrale,2026-02-15,2025-10-20,2026-07-14,False
18,Chiara,Moretti,2014-04-04,chiara.moretti87@yahoo.com,Semestrale,2028-01-04,2025-03-06,2027-02-23,False
19,Chiara,Ricci,2003-05-27,chiara.ricci26@yahoo.com,Semestrale,2026-09-15,2025-12-05,2028-01-27,False
20,Giulia,Colombo,1987-04-16,giulia.colombo78@icloud.com,Semestrale,2027-04-29,2025-08-21,2027-09-09,False
21,Beatrice,Russo,1953-12-19,beatrice.russo26@yahoo.com,Semestrale,2028-06-17,2025-07-09,2026-02-02,False
22,Matteo,Conti,2009-03-19,matteo.conti78@gmail.com,Semestrale,2027-02-03,2025-03-19,2026-04-19,True
23,Cristiano,Romano,1971-03-19,cristiano.romano57@icloud.com,Annuale,2027-08-03,2025-09-01,2026-11-06,False
24,Giulia,Ricci,1984-08-04,giulia.ricci16@gmail.com,Semestrale,2028-09-22,2025-03-14,2028-08-19,True
25,Chiara,Conti,1991-05-05,chiara.conti69@gmail.com,Annuale,2026-09-13,2025-01-17,2028-03-02,False
26,Elena,Romano,1956-11-06,elena.romano32@gmail.com,Semestrale,2028-09-15,2025-03-28,2028-01-10,False
27,Marco,Verdi,1974-06-15,marco.verdi34@icloud.com,Semestrale,2027-01-19,2025-12-18,2028-03-05,False
28,Alice,Marino,1978-03-26,alice.marino13@yahoo.com,Semestrale,2026-05-16,2025-05-22,2026-07-26,False
29,Sara,Conti,1972-08-31,sara.conti95@yahoo.com,Semestrale,2028-04-17,2025-10-15,2028-07-18,False
30,Riccardo,Colombo,1992-07-29,riccardo.colombo4@yahoo.com,Annuale,2028-03-24,2025-02-12,2026-06-22,False
31,Matteo,Zappa,1982-05-20,matteo.zappa54@outlook.it,Annuale,2028-02-26,2025-05-06,2026-10-31,False
32,Beatrice,Marino,1963-08-14,beatrice.marino39@gmail.com,Annuale,2027-08-07,2025-05-09,2027-08-11,False
33,Riccardo,Rossi,2012-01-16,riccardo.rossi17@outlook.it,Annuale,2026-04-14,2025-04-16,2025-07-02,False
34,Alice,Zappa,1985-07-25,alice.zappa5@outlook.it,Annuale,2027-04-04,2025-12-26,2027-09-18,False
35,Beatrice,Marino,1980-01-19,beatrice.marino64@gmail.com,Semestrale,2027-06-22,2025-09-10,2026-10-14,False
36,Elena,Marino,1948-11-25,elena.marino86@icloud.com,Semestrale,2027-06-04,2025-05-17,2027-04-15,False
37,Cristiano,Conti,1972-12-13,cristiano.conti40@yahoo.com,Annuale,2028-12-14,2025-12-02,2026-03-03,False
38,Riccardo,Ferrari,1991-10-29,riccardo.ferrari30@yahoo.com,Annuale,2028-05-31,2026-01-06,2025-05-22,False
39,Cristiano,Piccoli,2005-03-18,cristiano.piccoli70@icloud.com,Annuale,2027-05-07,2025-05-25,2027-07-30,False
40,Riccardo,Zappa,2010-02-14,riccardo.zappa66@yahoo.com,Semestrale,2026-06-24,2025-09-07,2025-01-19,False
41,Alice,Marino,1981-02-06,alice.marino71@icloud.com,Annuale,2026-08-21,2025-07-17,2028-03-23,False
42,Cristiano,Ferrari,2001-03-12,cristiano.ferrari75@icloud.com,Semestrale,2026-07-17,2025-03-08,2025-07-05,False
43,Davide,Ferrari,1977-01-17,davide.ferrari42@yahoo.com,Annuale,2026-09-11,2025-02-27,2028-06-07,False
44,Alessandro,Gallo,2013-04-06,alessandro.gallo25@gmail.com,Annuale,2027-02-21,2025-01-17,2025-07-27,False
45,Marco,Moretti,1971-11-10,marco.moretti15@icloud.com,Annuale,2028-04-07,2025-01-21,2027-05-13,False
46,Marco,Ricci,2006-06-08,marco.ricci78@gmail.com,Annuale,2027-07-05,2025-01-25,2025-06-25,False
47,Beatrice,Verdi,2004-06-23,beatrice.verdi33@gmail.com,Annuale,2027-11-17,2025-02-20,2025-12-28,False
48,Valentina,Colombo,1994-10-17,valentina.colombo22@gmail.com,Annuale,2028-01-15,2025-04-02,2028-07-22,False
49,Simone,Russo,1987-04-20,simone.russo65@outlook.it,Annuale,2026-09-28,2025-01-27,2027-11-29,False
50,Beatrice,Marino,1957-07-30,beatrice.marino45@icloud.com,Annuale,2028-12-10,2025-07-27,2026-07-04,False
51,Davide,Russo,1992-01-23,davide.russo5@gmail.com,Semestrale,2027-03-03,2025-05-02,2026-06-07,False
52,Chiara,Ricci,1966-11-30,chiara.ricci89@outlook.it,Semestrale,2026-12-16,2025-05-22,2028-12-11,False
53,Riccardo,Bianchi,1985-03-02,riccardo.bianchi61@icloud.com,Semestrale,2027-04-09,2025-10-27,2025-11-11,False
54,Cristiano,Ricci,2005-12-31,cristiano.ricci53@gmail.com,Semestrale,2026-10-30,2025-02-18,2027-09-14,False
55,Cristiano,Ferrari,2004-11-15,cristiano.ferrari71@gmail.com,Semestrale,2027-07-04,2025-07-19,2028-03-19,False
56,Cristiano,Zappa,1984-10-26,cristiano.zappa72@yahoo.com,Annuale,2026-05-13,2025-10-13,2027-04-23,False
57,Marco,Russo,2009-07-23,marco.russo23@outlook.it,Annuale,2028-04-23,2025-11-03,2027-11-15,False
58,Sara,Zappa,1971-11-21,sara.zappa80@icloud.com,Annuale,2026-06-21,2025-12-08,2026-02-27,False
59,Valentina,Ferrari,1985-11-28,valentina.ferrari7@icloud.com,Annuale,2028-09-16,2026-01-29,2025-03-12,False
60,Davide,Piccoli,1957-09-30,davide.piccoli81@outlook.it,Semestrale,2028-08-10,2025-06-29,2026-11-12,False
61,Giulia,Colombo,1950-09-07,giulia.colombo78@outlook.it,Annuale,2028-01-18,2025-02-02,2028-03-12,False
62,Chiara,Gallo,2006-12-29,chiara.gallo11@outlook.it,Semestrale,2028-12-07,2025-10-16,2026-09-26,False
63,Chiara,Ricci,1953-06-03,chiara.ricci41@yahoo.com,Annuale,2026-04-29,2025-03-25,2027-08-10,False
64,Davide,Piccoli,2003-07-04,davide.piccoli11@outlook.it,Semestrale,2026-05-23,2025-01-31,2025-07-15,False
