ID;Nome;Cognome;Data_Nascita;Email;Sport;Abbonamento;Scadenza_Certificato;Ultimo_Accesso;Scadenza_Abbonamento;Ban
2;Giulia;Conti;1948-01-11;giulia.conti68@yahoo.com;piscina;Mensile;2027-04-03;2025-12-19;2027-08-09;NO
5;Giulia;Moretti;1979-02-24;giulia.moretti6@outlook.it;piscina;Mensile;2028-03-09;2025-06-21;2026-09-06;NO
44;Giulia;Piccoli;1996-07-14;giulia.piccoli28@gmail.com;piscina;Annuale;2028-02-11;2025-06-29;2028-02-26;NO
46;Giulia;Romano;2008-10-07;giulia.romano40@icloud.com;piscina;Mensile;2028-07-12;2025-10-25;2027-03-15;NO
59;Giulia;Moretti;1946-07-14;giulia.moretti42@outlook.it;piscina;Annuale;2026-04-28;2025-08-26;2027-11-19;NO
73;Giulia;Piccoli;1961-02-16;giulia.piccoli8@yahoo.com;piscina;Mensile;2027-07-20;2025-09-20;2026-01-22;NO
95;Giulia;Ricci;1990-05-15;giulia.ricci71@outlook.it;piscina;Annuale;2028-06-17;2025-08-11;2025-01-03;NO
104;Giulia;Zappa;2010-07-09;giulia.zappa19@yahoo.com;piscina;Semestrale;2027-02-01;2025-05-14;2027-07-31;NO
120;Giulia;Bianchi;2010-12-18;giulia.bianchi69@outlook.it;piscina;Trimestrale;2026-07-08;2025-12-11;2026-03-29;NO
125;Giulia;Bianchi;1968-10-09;giulia.bianchi20@gmail.com;piscina;Mensile;2027-06-21;2025-02-20;2027-11-09;NO
137;Giulia;Zappa;1978-06-13;giulia.zappa69@yahoo.com;piscina;Mensile;2027-06-01;2025-11-09;2028-04-12;NO
166;Giulia;Romano;1971-05-01;giulia.romano6@icloud.com;piscina;Annuale;2028-02-06;2025-10-09;2027-07-20;NO
167;Giulia;Conti;2006-06-02;giulia.conti90@yahoo.com;piscina;Annuale;2026-09-24;2025-05-19;2027-10-17;NO
184;Giulia;Colombo;1998-09-19;giulia.colombo71@icloud.com;piscina;Trimestrale;2026-12-28;2025-10-01;2026-11-02;NO
192;Giulia;Colombo;1980-04-01;giulia.colombo26@outlook.it;piscina;Semestrale;2028-12-09;2025-03-17;2026-08-17;NO
203;Giulia;Russo;1994-01-10;giulia.russo52@yahoo.com;piscina;Mensile;2027-09-22;2025-09-15;2026-01-23;NO
234;Giulia;Gallo;1963-07-08;giulia.gallo57@gmail.com;piscina;Trimestrale;2028-05-07;2025-05-03;2027-10-23;NO
245;Giulia;Piccoli;1989-06-09;giulia.piccoli77@icloud.com;piscina;Mensile;2026-04-12;2025-09-20;2026-08-22;NO
251;Giulia;Colombo;2002-10-31;giulia.colombo95@gmail.com;piscina;Trimestrale;2027-11-20;2025-07-03;2026-07-21;NO
267;Giulia;Gallo;1946-01-22;giulia.gallo28@icloud.com;piscina;Semestrale;2027-02-25;2025-03-02;2027-06-11;NO
269;Giulia;Romano;1977-08-20;giulia.romano10@icloud.com;piscina;Trimestrale;2028-04-15;2026-02-08;2028-07-30;NO
283;Giulia;Marino;1995-08-21;giulia.marino70@icloud.com;piscina;Trimestrale;2026-10-27;2026-01-08;2026-02-12;NO
284;Giulia;Moretti;1950-03-29;giulia.moretti82@outlook.it;piscina;Semestrale;2028-06-20;2025-05-20;2028-12-28;NO
291;Giulia;Russo;1996-01-21;giulia.russo27@gmail.com;piscina;Semestrale;2027-11-13;2025-02-08;2027-09-03;NO
296;Giulia;Marino;1951-08-05;giulia.marino58@outlook.it;piscina;Annuale;2026-05-28;2025-09-23;2027-07-10;NO
303;Giulia;Piccoli;1946-02-02;giulia.piccoli80@icloud.com;piscina;Trimestrale;2028-09-01;2025-05-20;2028-10-24;NO
304;Giulia;Marino;2009-04-29;giulia.marino75@outlook.it;piscina;Annuale;2028-11-12;2025-03-13;2027-07-09;NO
317;Giulia;Ferrari;1951-06-03;giulia.ferrari48@icloud.com;piscina;Semestrale;2027-04-27;2025-07-24;2028-07-17;NO
323;Giulia;Bianchi;1986-06-25;giulia.bianchi52@outlook.it;piscina;Trimestrale;2028-03-08;2025-05-14;2027-03-26;NO
327;Giulia;Romano;1985-06-23;giulia.romano87@yahoo.com;piscina;Annuale;2027-04-11;2025-06-10;2026-06-17;NO
361;Giulia;Moretti;2002-03-22;giulia.moretti73@icloud.com;piscina;Annuale;2028-06-01;2025-09-24;2028-05-19;NO
375;Giulia;Rossi;1974-04-07;giulia.rossi25@yahoo.com;piscina;Trimestrale;2026-10-29;2025-11-07;2026-11-28;NO
392;Giulia;Piccoli;1986-11-07;giulia.piccoli66@icloud.com;piscina;Annuale;2027-03-25;2026-01-30;2026-12-21;NO
